nombre,precio_actual,precio_anterior,descuento_porcentaje,ubicacion_vendedor,cuotas,envio_gratis,enlace,categoria,fecha_extraccion
"Celular Blackview Shark 6 Android Phones 5g (2025), Android 15 Cell Phone Unlocked, 6.88 120hz Display, 12gb+128gb/2tb, 16mp+8mp Ai Camera, 5000mah",2470.0,6864.0,64,,15,0,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=Q2GxY9%2F%2BHIGQtZchmQ3MpuctAWTemx7mkdqiMKI%2BIymh5YeQOZ0ujMXovD6A0AXv3ECuRqWGeWSJvt%2F6xin7211MMR8GOoAeiO0xQ6KG70T2t3uvWa5cnOMQ2WCbxsFeRgJtupDXI7eQvC3QozHQc04w73Fcry%2BsZjL4TD9x%2FOHzSHbxy6Bf%2Bdc%2BOudqREmhuN1EhzQSOIff5A3R4%2FJAX14qtK2LaNQjx3asT5n2n4eCfK4UcznCS%2FMkH0rukFw4gdN0txl0W53yWevLlFl%2BGtrF5JnuWjRAZp6SoSf8B3jie70CZuX%2FPZnby6qI6parmSncVd0OZ%2BrqkZ4gO%2FeJRQeklkHn2LTsAhs%2BsVe4ANoa7ux7YiMTB75EW9SNyvm6jTgWpQoi5uLsao61mM1Am5I%2BSdkm9%2F6cdnbp6XQmGAgYLv5ndE7kDvn1WWpT9rpJ4BfYyxgci5yKjqjLJbC9AotyDe9jgabueD9mZy6vh3RzsSzHVjMxdT8zdTtwQTXJ3LQgeuPaGsmhEgeEkJupPLqHilsQWDHtknWHwUgMt1%2FRyxb05%2BCrWp0f1X5pCjVcVe2H%2B%2FYN%2BHs21nPbwCrUH1a3n%2F6URhaaT0W90dtaK8rDOOky%2Bor6RnDK%2FMjXasAggkN9JpGz736mke2l0zKUfYWOAlzXcEnSlkqmISdyC4y%2BxW8upWvNnMpEI0PTR4PsD%2BpzpZXO2Z7Onznp6qfpLXBciNoYexZvxLB2wWRYO269ANPMIZLLsvuGNr3GFHMWz10syykCrjU%2FJS%2BVVKVoHl9CKqya9IjRX1HrkuYUlhZqh%2FE9nuJ95bXk3Vg7%2B8pwQ0wDvGuLFfIO5buHZnVjySsT2CG5cUwkG9VFsSPC40sUW6cJxlsXz81TOrCB%2FXHp10h2yLZstDiH8chUz100DVZGnHnAOFHfY996SgE31HkOEjxahkjHMILMGkdZvcMOCpTU6pplksf7DCyVJRs0DLY1AwN3wLCgKg%3D%3D&searchVariation=191828728953,Celulares,2026-02-20 15:00:49
Oscal® Celular Tiger Lite Dual Sim Celulares 24gb Ram -256gb Rom 6.6inch 120hz Hdr 64mp Ai Camera  Smartphone,2406.0,5134.0,53,,24,0,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=Ph5j46m0e%2FBoDjGKrrOK9PF9XYK7imUHZnMOS4LGFkGUPX%2BBqCqImit2BygYH0Ra1DfKLTlbtiRUEfzNTLWI5OKKe3QRKkIaObEj6S33e9Twam%2FRcQ08i2OJJb7gin%2BhcKYAqcRkjenQ%2B%2BulMB7t2IiLWOnpPZpo8EVh5NYz4pEOrg4F5DiZh1e32qnNB5NofSS2J88%2BHZIKKHAgQsM9icaDjPLnKoo6alasOjATFNcubFCjMCKDrIrUOJEz41vPoowvF8LD0aSN1nJmMXnelm%2BsZZ%2FSneEQd55se2dKJmNigKlLLZOoL%2FjTNYFHE5lJx5IWpm9%2BNVIdQlmK9ay10pHhuyszVbxfK4IYHdFZzVPzXbrpqU%2FYRlVEI4uGHcgj%2B8XGGwvajKQNc3oqUeorwMygmBTBKQAzRrs9pr8QDedDh8ZMTdpAlGzvutV%2BlH%2FOUZXXpOLIPkKpyJluop5t95jzayu9F%2F3ZXZcLwECn2vMiEQrmlo%2BLAZe4KnM4gGVtaUliTNELBBRCmWdhqH4cNdrt9N1k071pVyBbjK0z4Z2Tt37asuBFMaRBYze7nNGfCMN1ZcBd7YocVop1IFph5uDMnJ6kDItYV3NBJwgWWBLW%2BtbJ%2FNOy%2BWhO11mKEF8TefoPOqJmizPDCy%2BQ0pY5W3SHmmGoZv1InGabrmVQmwCFtOh5XfQ3zcL7fPDTJIaNgCLDk7G92hvExnuvWGeqaJrxLNd%2BtO6CgQVZ4ZzegWpjX42bhwspv6hWsCKuDiTJVgufwOpcnT42u5ktFL2hq6iB4zKUhgnUk%2BlC3cbrCEdG97ACzf6GUqB1GD14%2FXGqYbs46hyLfF9XjYYjO3O%2F9bglFkEwPm%2FBchYiXXYp%2BjJjzT6ltHUUfgcwwflUyQoYLnb3ogn23uFLl6WdfZy7F7eD%2BftCR5gxz8gY6NdCH4xUDF2a%2BpKXobHgKg%3D%3D&searchVariation=185843110732,Celulares,2026-02-20 15:00:49
Celular Xiaomi Pocophone Poco M6 Negro De 8 Gb De Ram 256 Gb De Rom,2699.0,3333.0,19,,3,0,https://www.mercadolibre.com.mx/celular-xiaomi-pocophone-poco-m6-negro-de-8-gb-de-ram-256-gb-de-rom/p/MLM38284161,Celulares,2026-02-20 15:00:49
Celular Xiaomi Pocophone Poco M6 Dual Sim 6gb Ram 128gb Rom Color Negro,2199.0,2999.0,27,,3,0,https://www.mercadolibre.com.mx/celular-xiaomi-pocophone-poco-m6-dual-sim-6gb-ram-128gb-rom-color-negro/p/MLM38648556,Celulares,2026-02-20 15:00:49
"Smartphone Motorola Moto G05, 128 GB, 12 GB (4 GB de RAM + 8 GB de Ram Boost) y cámara de 50 MP con batería Ai de 5200 mAh, pantalla 6.7 con superbrillo, color verde",1799.0,2999.0,40,,24,0,https://www.mercadolibre.com.mx/smartphone-motorola-moto-g05-128-gb-12-gb-4-gb-de-ram-8-gb-de-ram-boost-y-camara-de-50-mp-con-bateria-ai-de-5200-mah-pantalla-67-con-superbrillo-color-verde/p/MLM58487369,Celulares,2026-02-20 15:00:49
"Xiaomi Redmi Note 14 4g 6,67 256gb 8gb Ram Cámara 108mpx - Color Negro",3559.0,4899.0,27,,24,0,https://www.mercadolibre.com.mx/xiaomi-redmi-note-14-4g-667-256gb-8gb-ram-camara-108mpx-color-negro/p/MLM45818960,Celulares,2026-02-20 15:00:49
White Shark X16 Blanco Teléfono Octa-core Android 14.0 Dual Sim 10gb + 128GB Battery 6500mah 6.56 pulgadas 21MP Camara Smartphone Smartphone,1512.0,1999.0,24,,24,0,https://www.mercadolibre.com.mx/white-shark-x16-blanco-telefono-octa-core-android-140-dual-sim-10gb-128gb-battery-6500mah-656-pulgadas-21mp-camara-smartphone-smartphone/p/MLM59746001,Celulares,2026-02-20 15:00:49
Blackview Bl7000 Ai 5g Android 15 24gb+256gb/2tb Mtk Dimensity 6300 6.78 Fhd+ 120hz 50mp + Night Vision 20mp 7500mah/33w Dual Sim/t-mobile/nfc,4899.0,9999.0,51,,24,0,https://www.mercadolibre.com.mx/blackview-bl7000-ai-5g-android-15-24gb256gb2tb-mtk-dimensity-6300-678-fhd-120hz-50mp-night-vision-20mp-7500mah33w-dual-simt-mobilenfc/p/MLM54004099,Celulares,2026-02-20 15:00:49
Celular Unnecto Bolt 10 128 GB Color Gris oscuro,1696.0,2499.0,32,,24,0,https://www.mercadolibre.com.mx/celular-unnecto-bolt-10-128-gb-color-gris-oscuro/p/MLM51929544,Celulares,2026-02-20 15:00:49
Smartphone Gt 20 Pro 2026 512gb 16gbram- -jregalo Bluetooth Mini Altavoz! Cãmara 50mp - Pantalla 6.8-dualsim-5g-gps - Bateria 8000mah Largaduración - Ofertas-negro,3239.0,5819.0,44,,15,1,https://www.mercadolibre.com.mx/smartphone-gt-20-pro-2026-512gb-16gbram-jregalo-bluetooth-mini-altavoz-cmara-50mp-pantalla-68-dualsim-5g-gps-bateria-8000mah-largaduracion-ofertas-negro/p/MLM63946917,Celulares,2026-02-20 15:00:49
