nombre,precio_actual,precio_anterior,descuento_porcentaje,ubicacion_vendedor,cuotas,envio_gratis,enlace,categoria,fecha_extraccion
Portátil Hp Omnibook X 16 Ryzen Ai 7 3500 24gb + 1tb,14937.0,33949.0,56,Envío desde USA,15,1,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=Q%2FcVx8W1dcg%2Bjl4dDDoV0fRNw5xABpHNRk8o3zytWK6GUCadcFPE1MYTTDyDCrNc%2B9%2BMym5LZE15k7LBybVP8k%2FWGS%2Fc6lKhlhpy1SwKW6u01Kg2u8sqKiZCMxWsGip0U6EPTnAM4MxqMIINFY9e0XbOE4d2eZvi4okdeF%2B5E%2Bs2KbLFCv7zzYfWQjjLuSsJ%2BYWHCUIfEYgacY1WwaaZetsXg441dn4Rg95QbiWKFB2ORiPxnGDI4ukillfMP5EewNQhvSSkJ6IvwF%2B0DSBBdzD3wRyRPyRhAN8Roqqg0j41Zauk4FGje9BNAtv%2BIzQ8yo3JSaZfAMmJ4LLYwDOR70ZOX24oQhWBCyZs3ySFUeIKaG75%2BLFJ%2B4d0jpBKoC1MIn73FinGgCXtGIJkSRNesui53x2cqRa7hFJXHSfTe2lIY01HVZBdYvcY6dD9W6BBo9ImF52h7XyJjrLfknP73tip5z77zLHAP7mZFRkgXlqUkoNVpiZz1lYtdfUdU3vhXpIFeU4HEcafFlEo3wgyO0s%2BGW4QLW4WzVjQpFw7EWyRO5qNXHBaK130QaPXU67rx1u7kKCv82RV2XUBCMBe7Ij1VWinVlEDQV3Z2LX4RO4k8o6Tqpk0D0iyAuE%2BbwQO9rC0bM6QuQq1XvJKOkmOvm6WVYqiinMO3XhoW59Dc4fBX6rKeRZc7stKhb2g4CGXwRd2p1tEGyGZPETyhLLpC8y%2Br4PDEuOfI%2Bb%2Bk5ATgTqwRGy518gwC4XiKODanm%2BQxQ3zPY%2FfyNFZC6cemu1yjf4%3D,Laptops,2026-02-20 15:00:41
Laptop Auusda Amd Ryzen 7 4800h 32 Gb Ram 1 Tb Ssd Windows 1,13864.0,17330.0,20,,15,0,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=xAf6w3slEODZuXICqRYpnMGa3h5cyWP2pckyzq4K%2FMkAQ5%2BH%2BGkv27f1Hc4U4DOYle%2FpUlCR7A98BEwN4Pq8gN5qyltB3GKnC8GtQ%2B3l9JHc1rl5Fr%2BBf1EvIHxcYvsXa3G79m8DzhkOYjoLPzO7eLYohmCCzgQ41ImpWLw7kSMFLr6wRMpkj5LETqrgdf%2FH%2BzWM%2BvGrWe9y3kcrlNFUvn6TMXAy9%2BBxv534kOur0HYWScVKQ7ZCMaKr79rxGQlmSd7RoHYXM6ECfdzyZUVwECL6oDwb7Egqa5M3WEdkfqyvF2RNPWKLik1F19x25BAeQZRnatUwm9bMMsi3CFfUhWvYNvMakd7oVSgZAq1LG2cpeBP5XWfZJM14npsKD0V3QqnFcUaurpFpmju%2BR1YbQ358qVVk2gA%2BH%2Bq0%2FSz%2B7zvEycB6AoRh071b6Y7HCK%2B%2BPl6BlhCApD63qkjq6WKYzTTGWfVxJo53%2FZ1d0%2Fj40wAeBSjU0mM4NREtT9it%2Fol2BBcSEzAkHrbT%2BfrOTvc5rs8p%2F8iQ01LHLcIqOlfYdWjhJxnP0M1gERhkGB3qifeCeiazJ0BV6CrZLXWSJohAAJdXDyzmqhqYjDCxHqWWLaCCBvi%2Bw4T1CuXjyVlBs7Htipk40kgxI0GlUiGXlWOUzdC6Lk%2Bgl4dQ4EllfDqIrO0sR%2F0SanxzWfj9txNCcD2YJ%2BLnHf6eZJSypqfVbaTn3XPjGd5L5ZlpLQG8JTzahQHwBF6Sez786kmHnNK09Nfpo2evICm%2Fetc1BRv%2FoPbyfoOKAzRUfpAwhsy2xA%3D%3D,Laptops,2026-02-20 15:00:41
Laptop ASUS Vivobook 14 Intel Core i3 8GB RAM 128GB SSD Windows 11 Home,5098.0,5999.0,15,,15,1,https://www.mercadolibre.com.mx/laptop-asus-vivobook-14-intel-core-i3-8gb-ram-128gb-ssd-windows-11-home/p/MLM50871366,Laptops,2026-02-20 15:00:41
Laptop Gamer Asus Rog Strix Scar 16 Nvidia Geforce Rtx 5090 Intel Core Ultra 9 275hx 32gb Ddr5 Ssd 2tb 16 Wqxga 240hz Teclado Ingles Gaming Avanzado Y Creacion De Contenido,99989.0,118899.0,16,,12,1,https://www.mercadolibre.com.mx/laptop-gamer-asus-rog-strix-scar-16-nvidia-geforce-rtx-5090-intel-core-ultra-9-275hx-32gb-ddr5-ssd-2tb-16-wqxga-240hz-teclado-ingles-gaming-avanzado-y-creacion-de-contenido/p/MLM65607319,Laptops,2026-02-20 15:00:41
Laptop Hp 14 Intel N150 4gb Ram 128gb Ssd Windows 11 Home 14-dq6011dx,3800.0,,0,,24,0,https://www.mercadolibre.com.mx/laptop-hp-14-intel-n150-4gb-ram-128gb-ssd-windows-11-home-14-dq6011dx/p/MLM51908503,Laptops,2026-02-20 15:00:41
"Laptop IdeaPad Slim 3 15,3 Intel Core I5 24gb Ram 1tb Ssd Lenovo",12996.0,15999.0,19,,12,0,https://www.mercadolibre.com.mx/laptop-ideapad-slim-3-153-intel-core-i5-24gb-ram-1tb-ssd-lenovo/p/MLM53153939,Laptops,2026-02-20 15:00:41
"Laptop HP 245 AMD Ryzen 3 7330U 16GB 512GB SSD 14"" W11 Teclado Español para Estudiante y Oficina",8999.0,10999.0,18,,24,1,https://www.mercadolibre.com.mx/laptop-hp-245-amd-ryzen-3-7330u-16gb-512gb-ssd-14-w11-teclado-espanol-para-estudiante-y-oficina/p/MLM27440340,Laptops,2026-02-20 15:00:41
"Laptop HP 250 G10 Intel Core i3 N305 16GB 256GB SSD 15.6"" W11 Teclado Español Mochila Ideal para Estudiante y Oficina",8999.0,10999.0,18,,3,1,https://www.mercadolibre.com.mx/laptop-hp-250-g10-intel-core-i3-n305-16gb-256gb-ssd-156-w11-teclado-espanol-mochila-ideal-para-estudiante-y-oficina/p/MLM49369018,Laptops,2026-02-20 15:00:41
"Notebook HP 240 G8 Plateado ceniza oscuro 14"" 1366 px x 768 px disco Híbrido SATA 500 GB Intel N4020 4GB de Ram",5640.0,,0,,15,1,https://www.mercadolibre.com.mx/notebook-hp-240-g8-plateado-ceniza-oscuro-14-1366-px-x-768-px-disco-hibrido-sata-500-gb-intel-n4020-4gb-de-ram/p/MLM18615271,Laptops,2026-02-20 15:00:41
"Laptop HP 250 G10 Intel Core i3 N305 16GB 256GB SSD 15.6"" W11 Teclado Español Mouse DXT Ideal para Estudiante y Oficina",8999.0,10999.0,18,,3,1,https://www.mercadolibre.com.mx/laptop-hp-250-g10-intel-core-i3-n305-16gb-256gb-ssd-156-w11-teclado-espanol-mouse-dxt-ideal-para-estudiante-y-oficina/p/MLM51641719,Laptops,2026-02-20 15:00:41
