nombre,precio_actual,precio_anterior,descuento_porcentaje,ubicacion_vendedor,cuotas,envio_gratis,enlace,categoria,fecha_extraccion
Pantalla Tcl 65 Pulgadas Clase S4 Roku Smart Tv Uhd Led 4k,7699.0,13999.0,45,,15,1,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=s6EzBpt7c5DsXA2nNFCO6sYh6CACu46AwpdjjOf0eTD%2BcjdVuBF%2FUDpaiWXVpGJWpdV3eg3lY%2BcXVQXdBnSLiqeb86hQiIh%2FJufksvNJAzh88tjWb5oXZ6LYl8HeDyM%2FPM2wOuqdZdxhJ3Av2zZlXkyoLyTehu3x1B8cOQHZaIejgELt5xuUuxysOD40rZkClzqLJyG40DGkW8gWQWCxDzEkqgQKs5OsXl28tCPdY5RprAnSxcr5FvpVZxqibicfCn9Y%2FIfP4fng51Bcwbejjnzz1kfvoldUGGubMz5EMVrDldg16J15%2FbfbiXRpDmE47T%2F%2B7KvrfmtMgVbPKyvWJM42z1sgqqWt8QY49DXS%2BAw%2FOz62D6rCV12PhVTEh26YqGRXzbX16NYSEH7IPQe9LG9FP496zXFvHdVBWuq5m%2FzN8gm%2Biu7xRwy6r7EkSsaond8aM1iKuuws7kldQFc%2FZV2cbciFyjr7aEOwLiTu12zasDGPNeyijD60Y98MNEUYy6h7L%2FyV%2FpK6pzv8mfRsWsb3zeuC6t8bAxGh55YjG4GHExpigXhURAOWTv%2F2O5o%2Bly2e6L3FWOSnIoCNizKhJP6cuGu1RZeqlBB2eLw3CWXY5gFiHpQjj704UXQSVYy%2Fj1FTV0V427ToIOpQMhrHf7%2FUoLYy3WAOPhdURAeolS2gktoodpJvoY2G2aFlHcifXK7zZk1VUh2sgbNCsdMolxf1a0X8vqqPk3p1BsKD8%2BN%2FCEw1pcZpiaE3lrEakLp26DkwFF01U1lzznpXRcIpAcBRym5XmVxecvYuxTe51dzt%2FCZO8ZdhPJvORZUYaULCiLstP85aTqlKaptolaPe5SyQ8jQ7iSK7Mua2duOF5v13MWfj2I63JNtSMw%3D%3D&searchVariation=182822251294,Televisores,2026-02-20 15:00:52
Televisor Portátil 13 Inch Leadstar Atsc Digital Tv Con Hdmi,2382.0,4332.0,45,,24,0,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=VUk54yor72J1GEZ8XkEXvPXlNZFaRC2j8ood7P7tFaA%2Ff85ozwnlJMEk5OZWKR%2B9vwK%2Fz5aY%2Bi8VOeyMwU5PwBmqhWWtr8Nru7U4TBv8gGk1rDymYBz9dhmc6auaMulQkLCAGzt0ZKIqjaCVJMfLtVeueHJDP4thsSSH9xsywPpgQRYJzrtSA4%2BX9fA5poWlb4E4jbUAy5DoR6hTRJqVLLqZIlU9Sm0z89lq%2BLBp6IneNnFNZItJcfJQ4fqPzUydfKx5S678tqwiXLcoFV3H9GiWsP8%2Fs54fSsV3kjqSCBavDSxZoJFE7pqbcObG9CcHsGcxsi23aTYpORoS7OUSZG7seZFE3xQ%2B4Eb3oMazNVUkxpATvK%2FedbIM8G2wRQ3lYtN4Yulg4cY%2BQDqI0L1UOMX%2B%2FaZAzSdHz6R0rMfr7fX3PekRJxy2gXqgT65K9NfOEcx%2B10Yk0pTpTjQjYqgncBIkpATNgKlxn1g8LeczT4HzhGUhzL99yTSCfd5P9LuhXqwsl%2BcmRPKxubvwMUkUE5D8KYxsxaxhgBAFyRA8MfEDqnEBg0%2BpOECtp9OgzcnUhpLNI2NL3Wbe3sYYu5vncAvi0fEIL44pDnphIHQQa02OMUOVoWOZWND6OqkAI10KH4oSQnqtoEyDB5OnqJZH2zr%2FCBe%2Fh3lw6Ap3YOGGqGQ2STlquIz6BhGW8%2Bw9Ttm8621HZ5Oln7rEe8j0mNJacwUiMtnLAlx7I5Erh6p%2FZ1ZzqAcVySW0yFHA98Dbwhu6yiLTSfJ8v0LbhPKHronUMbVWMj2XYfiZJ5Y%3D,Televisores,2026-02-20 15:00:52
"Smart TV Acer 50"" Pulgadas Pantalla 4K QLED Google TV con Dolby Audio, Asistente de Google, Televisión, Bluetooth, HDMI, Wi-Fi, HDR, Control por Voz y Soporte de Pared Incluido",5699.0,12398.0,54,,15,0,https://www.mercadolibre.com.mx/smart-tv-acer-50-pulgadas-pantalla-4k-qled-google-tv-con-dolby-audio-asistente-de-google-television-bluetooth-hdmi-wi-fi-hdr-control-por-voz-y-soporte-de-pared-incluido/p/MLM60944402,Televisores,2026-02-20 15:00:52
Smart Tv Pantalla Weyon 40 Pulgadas Led Full Hd Android Netflix 40WDSNMX,3059.0,5699.0,46,,15,0,https://www.mercadolibre.com.mx/smart-tv-pantalla-weyon-40-pulgadas-led-full-hd-android-netflix-40wdsnmx/p/MLM35506815,Televisores,2026-02-20 15:00:52
Hisense Smart TV Pantalla 65 Pulgadas LED 65A65NV Vidaa,8590.0,12799.0,33,,6,0,https://www.mercadolibre.com.mx/hisense-smart-tv-pantalla-65-pulgadas-led-65a65nv-vidaa/p/MLM50514819,Televisores,2026-02-20 15:00:52
"Smart TV Motorola MOT43FLE11 43"" Full HD LED",3799.0,7199.0,47,,15,0,https://www.mercadolibre.com.mx/smart-tv-motorola-mot43fle11-43-full-hd-led/p/MLM28297181,Televisores,2026-02-20 15:00:52
Pantalla Westinghouse Wr24hx2210 24'' 720p Led Hd Smart Tv,2001.0,2199.0,9,,15,1,https://www.mercadolibre.com.mx/pantalla-westinghouse-wr24hx2210-24-720p-led-hd-smart-tv/p/MLM23602741,Televisores,2026-02-20 15:00:52
Pantalla Samsung 55'' Crystal 4k Tizen Serie Du8000 Bluetooth HDR Gaming Hub,8161.0,10599.0,23,,15,1,https://www.mercadolibre.com.mx/pantalla-samsung-55-crystal-4k-tizen-serie-du8000-bluetooth-hdr-gaming-hub/p/MLM47867517,Televisores,2026-02-20 15:00:52
Televisor Onn 32 Pulgadas Led Hd,2198.0,3899.0,44,,15,0,https://www.mercadolibre.com.mx/televisor-onn-32-pulgadas-led-hd/p/MLM26876325,Televisores,2026-02-20 15:00:52
Pantalla 70 Pulgadas Roku Si70urf Tv 4k Uhd Jvc,10651.0,11769.0,9,,15,1,https://www.mercadolibre.com.mx/pantalla-70-pulgadas-roku-si70urf-tv-4k-uhd-jvc/p/MLM50858423,Televisores,2026-02-20 15:00:52
